2025-12-25 10:44:12,629 - INFO - Usage log: Node SGC.CUISHANHU_2.20MBL11AA050XM61, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 496, 'total_tokens': 512, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.25388145446777344}
2025-12-25 10:44:12,630 - INFO - Usage log: Node XQ01XQ11, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 464, 'total_tokens': 480, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2742912769317627}
2025-12-25 10:44:12,631 - INFO - Usage log: Node 测点SGC.YIXING_2.20LAB72AA005YB01, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 468, 'total_tokens': 488, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3061511516571045}
2025-12-25 10:44:12,632 - INFO - Usage log: Node SGC.HEFEI_1.01LAC20BG121, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 486, 'total_tokens': 502, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2732961177825928}
2025-12-25 10:44:12,633 - INFO - Usage log: Node XB01, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 473, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3175666332244873}
2025-12-25 10:44:12,634 - INFO - Usage log: Node 005, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 475, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28026485443115234}
2025-12-25 10:44:12,634 - INFO - Usage log: Node MAD主系统的13区域, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 479, 'total_tokens': 501, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.36090874671936035}
2025-12-25 10:44:12,635 - INFO - Usage log: Node EZ, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 473, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3395040035247803}
2025-12-25 10:44:12,636 - INFO - Usage log: Node 测点SGC.HEFEI_1.01LAC20BG113, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 484, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3230764865875244}
2025-12-25 10:44:12,637 - INFO - Usage log: Node 014, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 481, 'total_tokens': 497, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2951996326446533}
2025-12-25 10:44:12,637 - INFO - Usage log: Node 中压给水泵A非驱动端径向轴承座Y向振动, completion_usage: {'completion_tokens': 22, 'prompt_tokens': 480, 'total_tokens': 502, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3414952754974365}
2025-12-25 10:44:12,638 - INFO - Usage log: Node NG_1电厂10号机组, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 456, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3220810890197754}
2025-12-25 10:44:12,639 - INFO - Usage log: Node 高压旁路喷水流量1, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 477, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.266326904296875}
2025-12-25 10:44:12,639 - INFO - Usage log: Node SGC.CHANGXING_1.10MAD13CT014A232203OUT, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 504, 'total_tokens': 525, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30167078971862793}
2025-12-25 10:44:12,640 - INFO - Usage log: Node LAE主系统的02区域, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 475, 'total_tokens': 494, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.267819881439209}
2025-12-25 10:44:12,641 - INFO - Usage log: Node null, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 468, 'total_tokens': 488, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.26284289360046387}
2025-12-25 10:44:12,996 - INFO - Usage log: Node SGC.FENGQUAN_2.20MKY01EZ245XB01, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 494, 'total_tokens': 512, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28673863410949707}
2025-12-25 10:44:12,997 - INFO - Usage log: Node 测点SGC.CUISHANHU_2.20MBL11AA050XM61, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 476, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30565428733825684}
2025-12-25 10:44:12,998 - INFO - Usage log: Node SOV AUX. CONTACT INCONSISTENCY, completion_usage: {'completion_tokens': 12, 'prompt_tokens': 479, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.22451186180114746}
2025-12-25 10:44:12,999 - INFO - Usage log: Node XQ11XQ12, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 483, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2822568416595459}
2025-12-25 10:44:13,000 - INFO - Usage log: Node 112, completion_usage: {'completion_tokens': 19, 'prompt_tokens': 472, 'total_tokens': 491, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.30565428733825684}
