2025-12-25 15:31:43,384 - INFO - Usage log: Node AH, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 451, 'total_tokens': 467, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24143576622009277}
2025-12-25 15:31:43,384 - INFO - Usage log: Node CP, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 451, 'total_tokens': 467, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.23247575759887695}
2025-12-25 15:31:43,385 - INFO - Usage log: Node 020, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 474, 'total_tokens': 492, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.24442315101623535}
2025-12-25 15:31:44,041 - INFO - Usage log: Node 69. FENGQUAN_1 电厂, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 459, 'total_tokens': 476, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2981860637664795}
2025-12-25 15:31:44,042 - INFO - Usage log: Node HAD 主系统, completion_usage: {'completion_tokens': 16, 'prompt_tokens': 461, 'total_tokens': 477, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2991819381713867}
2025-12-25 15:31:44,043 - INFO - Usage log: Node 测点SGC.CHUZHOU_1.10MBH22CP102XQ01, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 486, 'total_tokens': 507, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3723597526550293}
2025-12-25 15:31:44,044 - INFO - Usage log: Node EC001, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 471, 'total_tokens': 488, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3101339340209961}
2025-12-25 15:31:44,045 - INFO - Usage log: Node 20 区域, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 461, 'total_tokens': 481, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.37186145782470703}
2025-12-25 15:31:44,045 - INFO - Usage log: Node STORE, completion_usage: {'completion_tokens': 14, 'prompt_tokens': 469, 'total_tokens': 483, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27329564094543457}
2025-12-25 15:31:44,046 - INFO - Usage log: Node 245, completion_usage: {'completion_tokens': 11, 'prompt_tokens': 474, 'total_tokens': 485, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2384495735168457}
2025-12-25 15:31:44,046 - INFO - Usage log: Node 10MAV21AP022YB02, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 485, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.32905054092407227}
2025-12-25 15:31:44,047 - INFO - Usage log: Node 测点SGC.HEFEI_1.01LAC20BG113, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 477, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2912170886993408}
2025-12-25 15:31:44,047 - INFO - Usage log: Node SGC.JIANGYIN_2.20MAD12CY011XQ01, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 472, 'total_tokens': 489, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2693138122558594}
